侷	亻尸㇆口 [ r vt c b ]
侸	亻一口䒑 [ r k b uk ]
侹	亻廴壬 [ r c tj ]
侺	亻山人丶㇇ [ r mx wg y v ]
侻	亻兑 [ r uq ]
侼	亻十冖子 [ r fg pp ck ]
侽	亻田力 [ r nb ct ]
侾	亻耂子 [ r jt ck ]
便	亻一日乂 [ r k n wy ]
俀	亻爫女 [ r w xk ]
俁	亻口㇞大 [ r b x sy ]
係	亻丿糸 [ r t x ]
促	亻口龰 [ r b ll ]
俄	亻手戈 [ r tg at ]
俅	亻{于下}{軣下}丶 [ r g o y ]
俆	亻余 [ r wt ]
俇	亻犭王 [ r e h ]
俈	亻告 [ r tj ]
俉	亻一{五下}口 [ r k v b ]
俊	亻厶八夂 [ r xy w tw ]
俋	亻口巴 [ r b vn ]
俌	亻甫 [ r du ]
俍	亻良 [ r yv ]
俎	人人且 [ wg wg mh ]
俏	亻⺌月 [ r iw q ]
俐	亻禾刂 [ r td ng ]
俑	亻龴用 [ r vy mj ]
俒	亻宀二儿 [ r pg jg qg ]
俓	亻一巛工 [ r k xg jl ]
俔	亻目儿 [ r m qg ]
俕	亻宀木 [ r pg d ]
俖	亻不口 [ r sl b ]
俗	亻八人口 [ r w wg b ]
俘	亻爫子 [ r w ck ]
俙	亻㐅ナ巾 [ r wy s ml ]
俚	亻日土 [ r n j ]
俛	亻⺈口儿 [ r qv b qg ]
俜	亻由一㇉ [ r no k x ]
保	亻口木 [ r b d ]
俞	亼月刂 [ wk q ng ]
俟	亻厶矢 [ r xy ts ]
俠	亻大人人 [ r sy wg wg ]
信	亻言 [ r y ]
俢	亻夂彡 [ r tw e ]
俣	亻口一大 [ r b k sy ]
俤	亻丷弓丨丿 [ r u vx l t ]
俥	亻車 [ r af ]
俦	亻{邦左}寸 [ r hl gy ]
俧	亻士心 [ r j pu ]
俨	亻一业丿 [ r k nu t ]
俩	亻一冂人人 [ r k m wg wg ]
俪	亻一冂丶冂丶 [ r k m y m y ]
俫	亻一米 [ r k ud ]
俬	亻禾厶 [ r td xy ]
俭	亻亼{佥下} [ r wk ik ]
修	亻丨夂彡 [ r l tw e ]
俯	亻广亻寸 [ r ys r gy ]
俰	亻禾口 [ r td b ]
俱	亻{具上}八 [ r mh w ]
俲	亻亠八乂力 [ r y w wy ct ]
俳	亻非 [ r nf ]
俴	亻戈戈 [ r at at ]
俵	亻龶𧘇 [ r hl q ]
俶	亻⺊一小又 [ r lg k iw vy ]
俷	亻月巴 [ r q vn ]
俸	亻𡗗キ [ r hw jl ]
俹	亻一{亞下} [ r k nu ]
俺	亻大日乚 [ r sy n x ]
俻	亻夂田 [ r tw nb ]
俼	亻亠厶月 [ r y xy q ]
俽	亻斤欠 [ r ek qw ]
俾	亻{卑上}十 [ r rb fg ]
俿	亻虍几 [ r la mg ]
倀	亻長 [ r ha ]
倁	亻矢口 [ r ts b ]
倂	亻丿一ナ丿干 [ r t k s t fl ]
倃	亻夂卜口 [ r tw lg b ]
倄	亻㐅ナ月 [ r wy s q ]
倅	亻亠人人十 [ r y wg wg fg ]
倆	亻一巾丿㇏丿㇏ [ r k ml t y t y ]
倇	亻宀夕㔾 [ r pg qy c ]
倈	亻木人人 [ r d wg wg ]
